name,pubtime,price
《机器学习应用系统设计》,2018-12,68.00
《Kubernetes即学即用》,2018-12,58.00
《PWA开发实战》,2018-12,79.00
《敏捷应用程序安全》,2018-11,78.00
《Go语言并发之道》,2018-11,58.00
《基于R语言的机器学习》,2018-11,58.00
《Python科学计算最佳实践：SciPy指南 》,2018-11,69.00
《可持续性设计》,2018-11,78.00
《PostgreSQL即学即用（第3版）》,2018-11,79.00
《Spark全栈数据分析》,2018-11,99.00
《Vue.js快跑》,2018-11,69.00
《Head First Android开发（第二版）》,2018-11,148.00
《Python学习手册（第5版_上下册）》,2018-11,219.00
《奔跑吧Ansible（第2版）》,2018-10,119.00
《网络安全科学本质论》,2018-10,48.00
《Kubernetes经典实例》,2018-10,48.00
《面向数据科学家的实用统计学 》,2018-10,89.00
《重构JavaScript 》,2018-10,88.00
《产品设计蓝图》,2018-09,88.00
《数据密集型应用系统设计》,2018-09,128.00
《云原生基础架构》,2018-09,55.00
《高效R语言编程》,2018-09,48.00
《基础设施即代码：云服务器管理》,2018-09,89.00
《情报驱动应急响应》,2018-09,79.00
《精通Azure数据分析》,2018-09,88.00
《学习OpenCV 3(中文版)》,2018-08,149.00
《React Native Cookbook（中文版）》,2018-08,59.00
《机器学习实战》,2018-08,119.00
《数据结构与算法Java语言描述》,2018-08,38.00
《客户驱动的产品开发》,2018-08,69.00
《Python编程之美》,2018-08,89.00
《大数据与隐私：利益博弈者、监管者和利益相关者》,2017-03,25.00
《JavaScript和jQuery实战手册（原书第3版）》,2017-03,119.00
《Hack与HHVM权威指南》,2017-03,69.00
《物联网设备安全》,2017-03,69.00
《客户端存储技术》,2017-03,39.00
《学习敏捷：构建高效团队》,2017-02,79.00
《React快速上手开发》,2017-02,49.00
《RESTful Rails Development（中文版）》,2017-02,49.00
《社区运营的艺术（第2版）》,2017-02,105.00
《硬件创业：从产品创意到成熟企业的成功路线图》,2017-02,69.00
《用Mesos框架构建分布式应用》,2017-02,55.00
《面向机器学习的自然语言标注》,2017-02,79.00
《视图更新与关系数据库理论》,2017-02,59.00
《Docker经典实例》,2017-01,69.00
《Hadoop应用架构》,2017-01,69.00
《学习虚拟现实：桌面、网络与移动设备的沉浸式体验与应用开发指南》,2017-01,80.00
《巧用Gradle构建Android应用》,2016-12,65.00
《持续轻量级Java EE开发：编写可测试的代码》,2016-12,59.00
《数据算法》,2016-12,128.00
《Java编程思维》,2016-12,59.00
《HTML5移动开发》,2016-11,89.00
《社交媒体大数据分析》,2016-10,59.00
《C#经典实例（第4版）》,2016-10,129.00
《多设备体验设计：物联网时代产品开发模式》,2016-10,59.00
《GitHub实践》,2016-10,69.00
《高性能Android应用开发》,2016-10,59.00
《MySQL与MariaDB学习指南》,2016-10,79.00
《决胜UX：互联网产品用户体验策略》,2016-10,59.00
《代码不朽：编写可维护软件的10大要则（C#版）》,2016-10,69.00
《代码不朽：编写可维护软件的10大要则（Java版）》,2016-10,69.00
《Jenkins权威指南》,2016-10,89.00
《Hadoop生态系统》,2016-10,28.00
《Head First Android开发》,2016-10,128.00
《Head First PMP（第3版_中文版）》,2016-10,148.00
《Cocoa学习手册（第4版）》,2016-10,69.00
《轻量级Django》,2016-10,39.00
《大数据伦理：平衡风险与创新》,2016-10,25.00
《CSS实战手册（第四版）》,2016-09,128.00
《iOS Swift游戏开发经典实例（第2版）》,2016-09,69.00
《Google App Engine编程（Java版）》,2016-09,69.00
《SRE：Google运维解密》,2016-09,108.00
《精益品牌塑造》,2016-09,69.00
《你不知道的JavaScript（中卷）》,2016-09,79.00
《WebPageTest应用指南》,2016-08,38.00
《速度与激情 : 以网站性能提升用户体验》,2016-08,49.00
《R包开发》,2016-08,49.00
《大数据猩球：海量数据处理实践指南》,2016-08,69.00
《Head First C#（中文版_第三版）》,2016-07,148.00
《Java经典实例（第3版）》,2016-07,148.00
《像计算机科学家一样思考Python（第2版）》,2016-06,49.00
《企业云：传统IT向云迁移的实践指南》,2016-06,79.00
《Swift编程实战：iOS应用开发实例及完整解决方案》,2016-06,139.00
《Scala编程实战》,2016-06,119.00
《Python网络数据采集》,2016-03,59.00
《数据科学入门》,2016-03,69.00
《Spark高级数据分析》,2015-11,59.00
《Spark快速大数据分析》,2015-09,59.00
《Python Cookbook中文版（第3版）》,2015-04,108.00
《MongoDB应用设计模式》,2015-04,29.00
《iPhone/iPad电子制作》,2015-03,69.00
《Java 8函数式编程》,2015-03,39.00
《树莓派实战秘籍》,2015-03,69.00
《贝叶斯思维：统计建模的Python学习法》,2015-03,49.00
《你不知道的JavaScript（上卷）》,2015-03,49.00
《数据科学实战》,2015-02,79.00
《HTML5秘籍（第2版）》,2015-02,89.00
《社交电商》,2015-02,69.00
《数据驱动的网络分析》,2015-01,59.00
《你不可不知的关系数据库理论》,2015-01,49.00
《JavaScript高效图形编程（修订版）》,2015-01,45.00
《编写可测试的JavaScript代码》,2015-01,55.00
《Node与Express开发》,2015-01,69.00
《Git版本控制管理（第2版）》,2015-01,79.00
《若为自由故：自由软件之父理查德·斯托曼传》,2015-01,49.00
《图数据库》,2015-01,49.00
《SQL学习指南（第2版_修订版）》,2015-01,49.00
《ZeroMQ：云时代极速消息通信库》,2015-01,108.00
《ASP.NET Web API设计》,2015-01,99.00
《PHP编程（第3版）》,2015-01,99.00
《集体智慧编程（修订版）》,2015-01,69.00
《精通Perl（第2版）》,2015-01,89.00
《体验引擎：游戏设计全景探秘》,2015-01,79.00
《Web界面设计（修订版）》,2015-01,108.00
《Raspberry Pi开发实战》,2015-01,79.00
《精通Perl（第2版_影印版）》,2014-12,74.00
《基于数据分析的网络安全（影印版）》,2014-12,66.00
《挖掘社交网络（第2版_影印版）》,2014-12,78.00
《Python编程（第4版）》,2014-12,198.00
《Java EE 7精粹》,2014-12,0.00
《精益数据分析》,2014-12,79.00
《移动应用UI设计模式（第2版）》,2014-12,79.00
《PaaS程序设计》,2014-12,39.00
《Flask Web开发：基于Python的Web应用开发实战》,2014-12,59.00
《社交网站的数据挖掘与分析（原书第2版）》,2014-12,79.00
《C#并发编程经典实例》,2014-12,49.00
《Java语言袖珍指南（第2版）》,2014-11,28.00
《Java Web服务：构建与运行（第2版）》,2014-11,69.00
《Python袖珍指南（第5版）》,2014-11,38.00
《深入浅出iPhone和iPad开发（第3版_影印版）》,2014-11,98.00
《Cocoa入门——使用Objective-C（第3版）》,2014-11,48.00
《iOS编程（第3版）》,2014-10,148.00
《计算的本质：深入剖析程序和计算机》,2014-10,69.00
《Hadoop权威指南（第3版）》,2014-10,99.00
《Haskell并行与并发编程》,2014-10,59.00
《正则表达式经典实例（第2版）》,2014-10,89.00
《HTML5数据推送应用开发》,2014-10,49.00
《MapReduce设计模式》,2014-08,49.00
《Backbone.js应用程序开发》,2014-08,55.00
《深入浅出JavaScript编程（影印版）》,2014-08,118.00
《NFC: Arduino、Android与PhoneGap近场通信》,2014-08,65.00
《Learning Android中文版（第2版）》,2014-08,59.00
《Web前端工程师修炼之道（原书第4版）》,2014-08,129.00
《语言编程（第4版）》,2014-08,148.00
《CSS3秘笈（第3版）》,2014-08,128.00
《Java网络编程（第4版）》,2014-08,78.00
《深入浅出PMP（第3版_影印版）》,2014-07,118.00
《R语言核心技术手册（第2版）》,2014-07,99.00
《数据结构与算法JavaScript描述》,2014-07,49.00
《SQL与关系数据库理论（第2版）》,2014-07,129.00
《游戏改变企业》,2014-06,35.00
《Java学习指南（第4版_上下册）》,2014-06,128.00
《创业的智慧：世界顶尖创业导师的洞见》,2014-06,69.00
《Python自然语言处理》,2014-06,89.00
《有趣的统计：75招学会数据分析》,2014-06,59.00
《游戏设计快乐之道》,2014-06,49.00
《学习R语言（影印版）》,2014-06,67.00
《敏捷数据科学：用Hadoop创建数据分析应用》,2014-06,49.00
《交互式程序设计（第二版）》,2014-06,129.00
《移动应用界面设计》,2014-06,119.00
《Android程序设计（第二版）》,2014-06,99.00
《高性能浏览器网络（影印版）》,2014-06,74.00
《深入浅出C#（第3版_影印版）》,2014-06,118.00
《数据科学（影印版）》,2014-06,74.00
《行为变化设计（影印版）》,2014-06,68.00
《HTML5 Canvas开发详解（第2版）》,2014-05,118.00
《Python计算机视觉编程》,2014-05,69.00
《游戏设计之快乐理论（第2版_影印版）》,2014-05,68.00
《RESTful Web APIs中文版》,2014-05,79.00
《Java网络编程（第4版_影印版）》,2014-05,82.00
《大教堂与集市》,2014-05,59.00
《使用HTML5和Node构建超媒体API》,2014-05,55.00
《DOM启蒙》,2014-04,49.00
《互联网思维的企业》,2014-04,59.00
《学习R》,2014-04,69.00
《软件定义网络：SDN与OpenFlow解析》,2014-04,79.00
《谷歌和亚马逊如何做产品 》,2014-04,49.00
《Node应用程序构建——使用MongoDB和Backbone》,2014-03,39.00
《Web 性能实践日志》,2014-03,39.00
《Web性能权威指南》,2014-03,69.00
《信息节食》,2014-03,39.00
《iOS编程指南》,2014-03,69.00
《LINUX系统编程（第2版）》,2014-03,79.00
《写给PHP开发者的Node.js学习指南》,2014-03,49.00
《以用户为中心的软件设计》,2014-03,39.00
《Using Drupal（第二版）》,2014-03,78.00
"《Learning PHP, MySQL, JavaScript和CSS（第二版）》",2014-03,78.00
《PHP & MySQL实战手册（第二版）》,2014-03,78.00
《Spring Data实战》,2014-02,59.00
《R数据可视化手册》,2014-02,89.00
《深入理解C指针》,2014-01,45.00
《Node学习指南》,2014-01,69.00
《JavaScript启示录》,2014-01,35.00
《Learning PHP设计模式》,2014-01,58.00
《JavaScript for PHP Developers（中文版）》,2014-01,28.00
《学习Java（第四版_上下册_影印版）》,2013-12,138.00
《Linux系统编程（第二版_影印版）》,2013-12,78.00
《Python Cookbook（第三版_影印版）》,2013-12,98.00
《学习使用C指针（影印版）》,2013-12,46.00
《MongoDB权威指南（第二版_影印版）》,2013-12,64.00
《游戏开发中的物理学（第二版_影印版）》,2013-12,89.00
《学习Python（第五版_上下册_影印版）》,2013-12,148.00
《HTML5 Canvas——网站本地化交互和动画设计（第二版_影印版）》,2013-12,96.00
《MongoDB权威指南（第2版）》,2013-12,79.00
《DNS与BIND（第5版）》,2013-12,108.00
《果壳中的C#——C# 5.0权威指南》,2013-11,118.00
《iOS 6编程经典实例》,2013-11,128.00
《软件定义网络（影印版）》,2013-11,69.00
《Hive编程指南》,2013-11,69.00
《HTML5敏捷实践》,2013-11,89.00
《Hadoop技术详解》,2013-11,59.00
《Hadoop Hacks（中文版）》,2013-11,58.00
《Web信息架构：设计大型网站（第3版）》,2013-10,99.00
《HTML5和JavaScript Web应用开发》,2013-10,35.00
《MongoDB设计模式（影印版）》,2013-10,36.00
《移动Web编程（第二版_影印版）》,2013-10,98.00
《PHP编程（第三版_影印版）》,2013-10,86.00
《微交互：细节设计成就卓越产品》,2013-10,35.00
《随意搜寻》,2013-10,68.00
《格物智知：3D图形与人机交互技术应用》,2013-10,150.00
《利用Python进行数据分析》,2013-10,89.00
《用AngularJS开发下一代Web应用》,2013-10,55.00
《使用HTML、CSS和JavaScript开发Android程序（第2版）》,2013-10,45.00
《NetKernel面向资源计算实践》,2013-09,69.00
《Arduino无线传感器网络实践指南》,2013-09,59.00
《Head First HTML与CSS（第二版）》,2013-09,98.00
《爱上Raspberry Pi》,2013-08,39.80
《Bootstrap用户手册：设计响应式网站》,2013-08,35.00
《HBase权威指南》,2013-08,89.00
《嗨翻C语言》,2013-08,99.00
《爱上3D打印机》,2013-08,38.00
《精益设计: 设计团队如何改善用户体验 》,2013-08,49.00
《界面设计模式（第2版）》,2013-08,119.00
《Ganglia系统监控》,2013-08,59.00
《HTML5 Canvas开发详解》,2013-07,99.00
《HTML5经典实例》,2013-07,48.00
《像计算机科学家一样思考Python》,2013-07,49.00
《LINUX技术手册（第六版）》,2013-07,148.00
《数据库设计与关系理论》,2013-07,69.00
《IPv6精髓（第2版）》,2013-06,89.00
《ASP.NET MVC 4 Web编程》,2013-06,68.00
《21世纪C语言（影印版）》,2013-06,56.00
《CSS3实战手册（第三版_影印版）》,2013-06,82.00
《Hadoop操作手册（影印版）》,2013-06,59.00
《iOS 6编程Cookbook（影印版）》,2013-06,99.00
《自然语言标注——用于机器学习（影印版）》,2013-06,54.00
《Android编程（第二版_影印版）》,2013-06,78.00
《Google App Engine编程（第二版_影印版）》,2013-06,69.00
《Hive编程（影印版）》,2013-06,54.00
《Python数据分析（影印版）》,2013-06,74.00
《R语言技术手册（第二版_影印版）》,2013-06,92.00
《正则表达式Cookbook（第二版_影印版）》,2013-06,79.00
《Spring Data（影印版）》,2013-06,58.00
《Git版本控制（第二版_影印版）》,2013-06,62.00
《放飞App》,2013-06,59.00
《Head First Mobile Web（中文版）》,2013-06,68.00
《爱上制作30》,2013-06,39.00
《爱上制作特别版——120个绝妙的制作项目》,2013-06,79.00
《社交应用编程》,2013-05,69.00
